UNIT,TANK #,DATE TIME,FEET,INCHES,INCHES PART,TEMPERATURE,INSPECTION,PRODCODE,DESCRIPTION,IN/OUTAGE,TANK STATUS
4BAYLD,10,3/12/2020 2:36,20,10,0,40,Y,4111,4111 KENSOL 30,, Idle
4BAYLD,103,3/12/2020 2:47,0,8,50,40,Y,9711,9711 KENSOL 48UNHT,, Idle
